,0
2784201334,55
2481410827,51
3182396570,11
2796408411,87
550218448,10
1570956111,89
2588605027,10
4294924655,14
3445419728,2
2645934274,12
582941081,114
669776709,1
3655065349,10
192214591,51
29111804,2
705697355,34
3612679800,12
2596068451,51
3122972162,10
1497638294,10
2671696570,6
2837833343,53
317673318,51
2037083914,14
539538961,2
1943931031,30
4188949701,10
1385581107,49
3054887119,14
2616268870,2
3570520647,51
1637328129,10
2105326924,14
2198033169,10
1202878152,10
2854792848,16
753705315,14
309367524,10
1133921844,14
2984433776,2
580105876,90
596374507,11
3733550837,53
3892135313,2
1664305878,46
3987333791,2
790625924,34
1234599881,46
851690795,46
3227168547,46
3162202677,46
13165604,12
412607989,10
1905370086,10
3960140017,12
3680625360,16
686698687,34
2856575266,2
2903254226,2
3121827929,2
2601165687,8
3878026037,10
334969650,10
433330365,10
2182700361,51
2584611847,10
2577778241,2
764186525,14
824149048,10
3287171207,10
3495673355,10
415782894,10
2715154069,10
1107656627,44
3393232260,10
3178048036,14
1528412468,14
1137256667,14
3736186930,10
3240674203,37
804579210,11
2185622015,10
523107890,14
4105660651,2
778992242,56
2811018393,14
234665764,37
1430238478,2
765646626,14
1335207100,2
134334590,2
2305997389,14
4150453272,2
3722641608,53
850144627,53
4283666860,2
3804355030,60
2682049340,22
1246572757,22
3136668093,22
1945753265,46
2380305456,48
1007944705,46
3074591455,76
3497010573,114
2433696688,51
844148864,14
1369660302,46
3215262642,46
2733810084,12
3998533419,51
1616744080,2
3994925200,57
1989496108,78
3948105767,2
3639837210,10
2402560248,56
720654480,10
838740676,1
3385497005,12
1870841796,10
672201504,2
4045106119,2
1277604731,2
2102782405,10
2833999276,2
2406878118,10
773932435,51
520464111,14
378458871,10
1952374116,2
3043619397,56
3935678152,10
3722728635,10
150457155,14
1170351744,10
259083857,10
3086383701,10
684769876,53
3807504119,14
3944910654,14
2649840432,114
3670402749,31
932880652,16
2113337149,14
4284429277,2
2333731082,14
1355901833,8
1307911768,2
4156923885,10
2586727120,1
3287603461,10
1076230410,25
2753777757,44
356506228,14
48660008,12
4086818045,56
944626101,54
3209644722,6
3539210486,14
2185558448,40
126913671,114
2593915864,2
2202302264,22
3242025228,22
1470127042,46
3628164617,22
84355805,60
1951499885,22
813620156,2
1275026549,67
3378126650,46
2112144778,46
2266347051,44
1068102371,2
1318629763,56
3470922769,4
1675233149,78
261780183,87
1395213715,2
3940448589,2
2043745909,37
2170306803,2
3295802467,10
3551479515,2
2209201017,10
3279143130,10
2122034477,10
1656738769,10
2010287558,10
66238809,12
1664454819,16
2461277679,46
3425265925,10
1351082946,10
1721252270,10
3993445158,10
1896731263,56
1890727541,10
1643175513,2
1262603797,14
3472842612,10
3834229013,2
3564899608,72
3549829526,46
209486893,2
873370726,25
3945350005,10
980484206,10
833262623,12
1653285804,51
1556332804,56
2876829721,10
3568521280,14
993771785,103
2240409597,76
610266074,14
2730733241,10
474811707,10
1987708263,10
523229533,2
1518757253,10
2647707382,14
3598980806,51
3347643937,2
262289841,10
134539769,10
146391813,10
2005030816,14
267459326,10
619869708,14
3991337584,10
3258707704,114
4187616436,12
3518416187,10
609113281,10
2192396738,14
2158664337,2
1990794920,14
1254474075,2
991218482,114
213334982,2
800071550,2
892061908,44
3892167704,114
2936789071,10
879727616,10
3361197142,44
2168843647,2
155386722,14
326926640,6
865335843,56
663658574,45
2104795234,14
3885416502,14
2368710343,73
2666929692,8
3836135,26
2633545422,22
918619529,10
3602782436,2
372935507,2
4091336473,36
1747633658,89
947337218,21
2369214966,9
