,0
2784201334,51
2481410827,57
3182396570,20
2796408411,88
550218448,21
1570956111,86
2588605027,21
4294924655,7
3445419728,5
2645934274,12
582941081,97
669776709,1
3655065349,21
192214591,57
29111804,5
705697355,46
3612679800,12
2596068451,57
3122972162,21
1497638294,21
2671696570,315
2837833343,39
317673318,57
2037083914,7
539538961,5
1943931031,31
4188949701,21
1385581107,63
3054887119,7
2616268870,5
3570520647,57
1637328129,21
2105326924,7
2198033169,21
1202878152,21
2854792848,8
753705315,7
309367524,21
1133921844,7
2984433776,5
580105876,95
596374507,20
3733550837,39
3892135313,5
1664305878,36
3987333791,5
790625924,46
1234599881,36
851690795,36
3227168547,36
3162202677,36
13165604,12
412607989,21
1905370086,21
3960140017,12
3680625360,8
686698687,46
2856575266,5
2903254226,5
3121827929,5
2601165687,6
3878026037,21
334969650,21
433330365,21
2182700361,57
2584611847,21
2577778241,5
764186525,7
824149048,21
3287171207,21
3495673355,21
415782894,21
2715154069,21
1107656627,37
3393232260,21
3178048036,7
1528412468,7
1137256667,7
3736186930,21
3240674203,44
804579210,20
2185622015,21
523107890,7
4105660651,5
778992242,62
2811018393,7
234665764,44
1430238478,5
765646626,7
1335207100,5
134334590,5
2305997389,7
4150453272,5
3722641608,39
850144627,39
4283666860,5
3804355030,61
2682049340,11
1246572757,11
3136668093,11
1945753265,36
2380305456,55
1007944705,36
3074591455,58
3497010573,97
2433696688,57
844148864,7
1369660302,36
3215262642,36
2733810084,12
3998533419,57
1616744080,5
3994925200,52
1989496108,74
3948105767,5
3639837210,21
2402560248,62
720654480,21
838740676,1
3385497005,12
1870841796,21
672201504,5
4045106119,5
1277604731,5
2102782405,21
2833999276,5
2406878118,21
773932435,57
520464111,7
378458871,21
1952374116,5
3043619397,62
3935678152,21
3722728635,21
150457155,7
1170351744,21
259083857,21
3086383701,21
684769876,39
3807504119,7
3944910654,7
2649840432,97
3670402749,28
932880652,8
2113337149,7
4284429277,5
2333731082,7
1355901833,6
1307911768,5
4156923885,21
2586727120,1
3287603461,21
1076230410,34
2753777757,37
356506228,7
48660008,12
4086818045,62
944626101,56
3209644722,315
3539210486,7
2185558448,47
126913671,97
2593915864,5
2202302264,11
3242025228,11
1470127042,36
3628164617,11
84355805,61
1951499885,11
813620156,5
1275026549,66
3378126650,36
2112144778,36
2266347051,37
1068102371,5
1318629763,62
3470922769,3
1675233149,74
261780183,88
1395213715,5
3940448589,5
2043745909,44
2170306803,5
3295802467,21
3551479515,5
2209201017,21
3279143130,21
2122034477,21
1656738769,21
2010287558,21
66238809,12
1664454819,8
2461277679,36
3425265925,21
1351082946,21
1721252270,21
3993445158,21
1896731263,62
1890727541,21
1643175513,5
1262603797,7
3472842612,21
3834229013,5
3564899608,78
3549829526,36
209486893,5
873370726,34
3945350005,21
980484206,21
833262623,12
1653285804,57
1556332804,62
2876829721,21
3568521280,7
993771785,237
2240409597,58
610266074,7
2730733241,21
474811707,21
1987708263,21
523229533,5
1518757253,21
2647707382,7
3598980806,57
3347643937,5
262289841,21
134539769,21
146391813,21
2005030816,7
267459326,21
619869708,7
3991337584,21
3258707704,97
4187616436,12
3518416187,21
609113281,21
2192396738,7
2158664337,5
1990794920,7
1254474075,5
991218482,97
213334982,5
800071550,5
892061908,37
3892167704,97
2936789071,21
879727616,21
3361197142,37
2168843647,5
155386722,7
326926640,315
865335843,62
663658574,45
2104795234,7
3885416502,7
2368710343,98
2666929692,6
3836135,15
2633545422,11
918619529,21
3602782436,5
372935507,5
4091336473,38
1747633658,86
947337218,19
2369214966,18
2226427908,1
687963757,31
3449974621,7
4294834649,37
2021949131,21
1951743230,5
3120518763,8
2679485779,24
2090284400,21
2840019146,5
3664961523,21
1338608419,237
1949128669,1
2624000215,21
2721417429,36
3343908602,62
3401534002,2
658443742,21
3607191031,21
1380395289,62
2903867145,62
4129487121,21
4294710591,6
2013650409,21
1914300095,21
3829858221,37
1830269814,25
1930812195,5
3803483461,21
3921937066,21
3504672632,315
2661601747,5
3334625974,57
3731140619,21
3250344670,5
1459859577,20
270926810,57
2510067331,21
1624523609,237
3629153034,21
1817586676,21
3351243966,57
2395786110,45
3668822785,21
671711660,21
1429669076,6
2070789249,21
3444452700,18
2216297614,5
1649462244,20
1862138605,21
2055833637,21
834618045,18
2975577076,7
3543368143,7
2604551232,44
1208165070,21
2473469965,7
758687775,7
4163186309,69
1953998130,21
820925103,21
345558413,21
2045101767,95
4017854863,5
2398053090,8
4046373707,8
3129511397,21
4184055309,21
2088906973,62
2133906593,12
3844043701,21
1061845826,21
236501847,21
2281396683,21
3643671268,7
86295093,5
1105254676,56
2104229848,5
1673944311,21
4071404007,5
570270911,21
594762193,6
3249046480,97
4167050806,7
2492874153,7
3160105473,7
2711615258,6
3737799640,21
1616547712,7
3877216049,20
2163066761,7
174946527,7
639194941,62
3371678177,13
1589333211,21
586019950,6
23857323,94
3524386800,7
4279879902,8
2433720083,18
2747814174,25
2345593338,98
2067381329,46
2171798683,21
1117694461,5
