"","USER_ID","ITEM_ID"
"321583","User_Religious_8",3141118396
"321584","User_Religious_8",2125502296
"321585","User_Religious_8",1150985441
"321586","User_Religious_8",3367752085
"321587","User_Religious_8",2249626423
"321588","User_Religious_8",3714667764
"321589","User_Religious_8",2505032611
"321590","User_Religious_8",3154041781
"321591","User_Religious_8",3730142743
"321592","User_Religious_8",833861415
"321593","User_Religious_8",404936166
"321594","User_Religious_8",3523142459
"321595","User_Religious_8",1778294344
"321596","User_Religious_8",881845253
"321597","User_Religious_8",551038661
"321598","User_Religious_8",3271297164
"321599","User_Religious_8",3304065313
"321600","User_Religious_8",2240119028
"321601","User_Religious_8",4089419788
"321602","User_Religious_8",1021928471
"321603","User_Religious_8",3534962612
"321604","User_Religious_8",3392858908
"321605","User_Religious_8",1824634919
"321606","User_Religious_8",65144240
"321607","User_Religious_8",382560911
"321608","User_Religious_8",1726556929
"321609","User_Religious_8",3093719266
"321610","User_Religious_8",2133886742
"321611","User_Religious_8",1591540366
"321612","User_Religious_8",218797897
"321613","User_Religious_8",425930106
"321614","User_Religious_8",3537212318
"321615","User_Religious_8",15902350
"321616","User_Religious_8",807040913
"321617","User_Religious_8",3312832054
"321618","User_Religious_8",3133526665
"321619","User_Religious_8",2828263470
"321620","User_Religious_8",733719287
"321621","User_Religious_8",1250359824
"321622","User_Religious_8",2446835865
"321623","User_Religious_8",1482977449
"321624","User_Religious_8",639019951
"321625","User_Religious_8",1653503102
"321626","User_Religious_8",3905499358
"321627","User_Religious_8",471841780
"321628","User_Religious_8",2801210907
"321629","User_Religious_8",1738262028
"321630","User_Religious_8",4033586536
"321631","User_Religious_8",733446658
"321632","User_Religious_8",3245565905
"321633","User_Religious_8",4183164174
"321634","User_Religious_8",951511653
"321635","User_Religious_8",2915395094
"321636","User_Religious_8",1356963878
"321637","User_Religious_8",2626075631
"321638","User_Religious_8",3816811699
"321639","User_Religious_8",3567618596
"321640","User_Religious_8",267934581
"321641","User_Religious_8",881069452
"321642","User_Religious_8",1039890619
"321643","User_Religious_8",3464698671
"321644","User_Religious_8",3175305767
"321645","User_Religious_8",2525194402
"321646","User_Religious_8",1639197690
"321647","User_Religious_8",97322255
"321648","User_Religious_8",2050327774
"321649","User_Religious_8",2820828652
"321650","User_Religious_8",1896781249
"321651","User_Religious_8",2170689351
"321652","User_Religious_8",3529867953
"321653","User_Religious_8",2650666014
"321654","User_Religious_8",3785967652
"321655","User_Religious_8",540659793
"321656","User_Religious_8",4088084549
"321657","User_Religious_8",2044590296
"321658","User_Religious_8",3974644501
"321659","User_Religious_8",3721125761
"321660","User_Religious_8",1794450508
"321661","User_Religious_8",3195339747
"321662","User_Religious_8",540310930
"321663","User_Religious_8",3018117781
"321664","User_Religious_8",2077023794
"321665","User_Religious_8",4118945068
"321666","User_Religious_8",1460899216
"321667","User_Religious_8",3236645140
"321668","User_Religious_8",3199465498
"321669","User_Religious_8",3504894095
"321670","User_Religious_8",290267511
"321671","User_Religious_8",582509529
"321672","User_Religious_8",4151568680
"321673","User_Religious_8",4130309407
"321674","User_Religious_8",142093277
"321675","User_Religious_8",3370011804
"321676","User_Religious_8",2687946678
"321677","User_Religious_8",3448382308
"321678","User_Religious_8",3702201570
"321679","User_Religious_8",2842630509
"321680","User_Religious_8",4003967872
"321681","User_Religious_8",3931698274
"321682","User_Religious_8",1337687855
"321683","User_Religious_8",2461170612
